Brand,GSG Score,Link,Parent Company,Animal Welfare,Environmental Report,Organic,Nuclear Power,Better Cotton Initiative,Fossil Fuels,Ethical Accreditation,Other Criticisms,Ethical Innovator,Armaments,Code of Conduct,Political Donations,Ethical Trading Schemes,Human Rights,Raw Score Total,Human Rights+,Other Criticisms+
Komodo,100,https://thegoodshoppingguide.com/brand-directory/komodo/,The Yakit Rakit Ltd,10.1,10.1,10.1,10.1,10.1,10.1,10.1,20,8,10.1,10.1,10.1,10.1,20,159,,
Ladage Bonton,100,https://thegoodshoppingguide.com/brand-directory/ladage-bonton/,Ladage Bonton,10.1,10.1,10.2,10.1,10.2,10.1,10.1,20,8,10.1,10.1,10.1,10.2,20,159,,
Finisterre,99,https://thegoodshoppingguide.com/brand-directory/finisterre/,Finisterre UK Ltd,10.1,10.1,10.1,10.1,10.2,10.1,0,20,8,10.1,10.1,10.1,10.2,20,149,,
Karee,99,https://thegoodshoppingguide.com/brand-directory/karee/,Taro Designs UK Ltd,10.1,10.1,0,10.1,10.2,10.1,10.1,20,8,10.1,10.1,10.1,10.2,20,149,,
People Tree,99,https://thegoodshoppingguide.com/brand-directory/people-tree/,People Tree Ltd,10.1,10.1,10.1,10.1,10.2,10.1,0,20,8,10.1,10.1,10.1,10.1,20,149,,
School Uniform Shop,93,https://thegoodshoppingguide.com/brand-directory/school-uniform-shop/,Denim Nation (Hereford) Ltd,10.1,10.1,0,10.1,10.2,10.1,10.1,20,,10.1,10.1,10.1,10.2,20,141,,
Seasalt,80,https://thegoodshoppingguide.com/brand-directory/seasalt/,Seasalt Ltd,10.1,10.1,10.1,10.1,0,10.1,0,10,,10.1,10.1,10.1,10.1,20,121,,
Patagonia,79,https://thegoodshoppingguide.com/brand-directory/patagonia/,Patagonia Inc.,10.1,10.1,10.1,10.1,0,10.1,0,20,8,10.1,10.1,0,10.1,10,119,,
Fat Face,77,https://thegoodshoppingguide.com/brand-directory/fat-face/,Fat Face Ltd,10.1,10.1,10.1,10.1,10.1,10.1,0,10,,10.1,5,10.1,10.1,10,116,,
Whistles,73,https://thegoodshoppingguide.com/brand-directory/whistles/,TFG Ltd,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,20,111,,
Monsoon Accessorize,70,https://thegoodshoppingguide.com/brand-directory/monsoon-accessorize/,Monsoon Brands Ltd,10.1,5,0,10.1,0,10.1,0,10,,10.1,10.1,10.1,10.1,20,106,,
Phase Eight,70,https://thegoodshoppingguide.com/brand-directory/phase-eight/,TFG Ltd,5,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,20,106,,
ASOS,67,https://thegoodshoppingguide.com/brand-directory/asos/,ASOS Plc,10.1,10.1,10.1,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,101,,
Crew Clothing,67,https://thegoodshoppingguide.com/brand-directory/crew-clothing/,Exquisite Apparel Corporation,10.1,0,0,10.1,0,10.1,0,20,,10.1,10.1,10.1,0,20,101,,
Evans,67,https://thegoodshoppingguide.com/brand-directory/evans/,City Chic Collective UK Ltd,10.1,0,0,10.1,0,10.1,0,20,,10.1,10.1,10.1,0,20,101,,
Miss Selfridge,67,https://thegoodshoppingguide.com/brand-directory/miss-selfridge/,ASOS Plc,10.1,10.1,10.1,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,101,,
Topman,67,https://thegoodshoppingguide.com/brand-directory/topman/,ASOS Plc,10.1,10.1,10.1,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,101,,
Topshop,67,https://thegoodshoppingguide.com/brand-directory/topshop/,ASOS Plc,10.1,10.1,10.1,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,101,,
French Connection,60,https://thegoodshoppingguide.com/brand-directory/french-connection/,French Connection Group Plc,5,0,10.1,10.1,0,10.1,0,10,,10.1,5,10.1,0,20,90,,
New Look,60,https://thegoodshoppingguide.com/brand-directory/new-look/,New Look Group Ltd,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,,
River Island,60,https://thegoodshoppingguide.com/brand-directory/river-island/,River Island Clothing Co. Ltd,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,,
Bershka,53,https://thegoodshoppingguide.com/brand-directory/bershka/,"Industria de Diseño Textil, S.A (Inditex)",10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
Gap,53,https://thegoodshoppingguide.com/brand-directory/gap/,Next Plc,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
Joules,53,https://thegoodshoppingguide.com/brand-directory/joules/,Next Plc,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,,
Next,53,https://thegoodshoppingguide.com/brand-directory/next/,Next Plc,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
Pull&Bear,53,https://thegoodshoppingguide.com/brand-directory/pull-bear/,"Industria de Diseño Textil, S.A (Inditex)",10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
Stradivarius,53,https://thegoodshoppingguide.com/brand-directory/stradivarius/,"Industria de Diseño Textil, S.A (Inditex)",10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
The North Face,53,https://thegoodshoppingguide.com/brand-directory/the-north-face/,VF Corporation,10.1,10.1,0,10.1,10.1,10.1,0,20,,10.1,10.1,0,0,0,91,0,
White Stuff,53,https://thegoodshoppingguide.com/brand-directory/white-stuff/,White Stuff Ltd,5,0,0,10.1,0,10.1,0,10,,10.1,5,10.1,10.1,10,80,,
Zara,53,https://thegoodshoppingguide.com/brand-directory/zara/,"Industria de Diseño Textil, S.A (Inditex)",10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,
Fila,50,https://thegoodshoppingguide.com/brand-directory/fila-fashion-retailers/,Fila Holdings Corporation,5,10.1,10.1,10.1,0,10.1,0,0,,10.1,10.1,10.1,0,10,86,,0
Mango,50,https://thegoodshoppingguide.com/brand-directory/mango/,Punta Fa S.L.,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,5,10.1,0,0,76,,
& Other Stories,48,https://thegoodshoppingguide.com/brand-directory/other-stories/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
H&M,48,https://thegoodshoppingguide.com/brand-directory/hm/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
Monki,48,https://thegoodshoppingguide.com/brand-directory/monki/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
Primark,47,https://thegoodshoppingguide.com/brand-directory/primark/,Associated British Foods Plc/Wittington Investments Ltd,10.1,10.1,0,10.1,0,10.1,0,0,,10.1,10.1,10.1,10.1,0,81,0,
Tommy Hilfiger,47,https://thegoodshoppingguide.com/brand-directory/tommy-hilfiger/,PVH Corp.,10.1,10.1,0,10.1,10.1,10.1,0,10,,10.1,10.1,0,0,0,81,0,
adidas,41,https://thegoodshoppingguide.com/brand-directory/adidas-fashion-retailers/,Adidas AG,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,0,10.1,0,71,0,
Matalan,38,https://thegoodshoppingguide.com/brand-directory/matalan/,Matalan Retail Ltd,5,5,0,10.1,10.1,10.1,0,0,,10.1,5,10.1,0,0,66,0,
Boohoo,37,https://thegoodshoppingguide.com/brand-directory/boohoo/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Burton,37,https://thegoodshoppingguide.com/brand-directory/burton/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Coast,37,https://thegoodshoppingguide.com/brand-directory/coast/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Dorothy Perkins,37,https://thegoodshoppingguide.com/brand-directory/dorothy-perkins/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Nasty Gal,37,https://thegoodshoppingguide.com/brand-directory/nasty-gal/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Nike,37,https://thegoodshoppingguide.com/brand-directory/nike-fashion-retailers/,Nike Inc.,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,0,10.1,0,71,0,0
Oasis,37,https://thegoodshoppingguide.com/brand-directory/oasis-fashion-retailers/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Pretty Little Thing,37,https://thegoodshoppingguide.com/brand-directory/pretty-little-thing/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Wallis,37,https://thegoodshoppingguide.com/brand-directory/wallis-fashion-retailers/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Warehouse,37,https://thegoodshoppingguide.com/brand-directory/warehouse/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
I Saw It First,30,https://thegoodshoppingguide.com/brand-directory/i-saw-it-first/,Frasers Group Plc,0,0,0,10.1,10.1,10.1,0,0,,10.1,0,10.1,0,0,50,,0
Missguided,30,https://thegoodshoppingguide.com/brand-directory/missguided/,Frasers Group Plc,0,0,0,10.1,10.1,10.1,0,0,,10.1,0,10.1,0,0,50,,0
Shein,29,https://thegoodshoppingguide.com/brand-directory/shein/,Roadget Business Pte Ltd,5,0,0,10.1,0,10.1,0,0,,10.1,5,10.1,0,0,50,,0
